@RELATION GermanCredit

@ATTRIBUTE CheckingAccount {<0,<200,>=200,none}
@ATTRIBUTE Duration NUMERIC
@ATTRIBUTE CreditHistory {ok,ok_at_this_bank,ok_til_now,past_delays,critical}
@ATTRIBUTE Purpose {car_new,car_used,furniture,television,appliances,repairs,education,vacation,retraining,business,others}
@ATTRIBUTE CreditAmount NUMERIC
@ATTRIBUTE SavingsAccount {<100,<500,<1000,>=1000,unknown}
@ATTRIBUTE YearsEmployed {unemployed,<1,<4,<7,>=7}
@ATTRIBUTE InstallmentRate NUMERIC
@ATTRIBUTE PersonalStatus {male_divorced,female,male_single,male_married,female_single}
@ATTRIBUTE OtherDebtors {none,co,guarantor}
@ATTRIBUTE ResidentSince NUMERIC
@ATTRIBUTE Property {real_estate,savings,car,unknown}
@ATTRIBUTE Age NUMERIC
@ATTRIBUTE OtherPlans {bank,stores,none}
@ATTRIBUTE Housing {rent,own,free}
@ATTRIBUTE NumCreditsAtBank NUMERIC
@ATTRIBUTE Job {unemployed,unskilled,skilled,management}
@ATTRIBUTE Dependents NUMERIC
@ATTRIBUTE Telephone {no,yes}
@ATTRIBUTE Foreign {yes,no}
@ATTRIBUTE Approve {good,bad}

@DATA
<200,12,ok_til_now,television,625,<100,<1,4,male_married,guarantor,1,real_estate,26,bank,own,1,unskilled,1,no,yes,good
<0,12,ok_til_now,education,1200,unknown,<4,4,female,none,4,savings,23,bank,rent,1,skilled,1,yes,yes,good
none,12,ok_til_now,television,707,<100,<4,4,male_single,none,2,real_estate,30,bank,own,2,skilled,1,no,yes,good
none,24,past_delays,business,2978,unknown,<4,4,male_single,none,4,real_estate,32,none,own,2,skilled,2,yes,yes,good
none,15,ok_til_now,car_used,4657,<100,<4,3,male_single,none,2,car,30,none,own,1,skilled,1,yes,yes,good
none,36,ok,repairs,2613,<100,<4,4,male_single,none,2,car,27,none,own,2,skilled,1,no,yes,good
<200,48,ok_til_now,television,10961,>=1000,<7,1,male_single,co,2,unknown,27,bank,own,2,skilled,1,yes,yes,bad
<0,12,ok_til_now,furniture,7865,<100,>=7,4,male_single,none,4,unknown,53,none,free,1,management,1,yes,yes,bad
none,9,ok_til_now,television,1478,<100,<7,4,male_single,none,2,car,22,none,own,1,skilled,1,no,yes,bad
<0,24,ok_til_now,furniture,3149,<100,<1,4,male_single,none,1,unknown,22,bank,free,1,skilled,1,no,yes,good
>=200,36,ok_til_now,television,4210,<100,<4,4,male_single,none,2,car,26,none,own,1,skilled,1,no,yes,bad
none,9,ok_til_now,car_new,2507,<1000,>=7,2,male_single,none,4,unknown,51,none,free,1,unskilled,1,no,yes,good
none,12,ok_til_now,television,2141,<500,<7,3,male_single,none,1,unknown,35,none,own,1,skilled,1,no,yes,good
<200,18,ok_til_now,television,866,<100,<4,4,male_married,guarantor,2,real_estate,25,none,own,1,unskilled,1,no,yes,good
none,4,critical,television,1544,<100,<7,2,male_single,none,1,real_estate,42,none,own,3,unskilled,2,no,yes,good
<0,24,ok_til_now,television,1823,<100,unemployed,4,male_single,none,2,car,30,stores,own,1,management,2,no,yes,bad
<200,6,ok_til_now,car_new,14555,unknown,unemployed,1,male_single,none,2,savings,23,none,own,1,unemployed,1,yes,yes,bad
<200,21,ok_til_now,business,2767,<500,>=7,4,male_divorced,none,2,car,61,bank,rent,2,unskilled,1,no,yes,bad
none,12,critical,television,1291,<100,<4,4,female,none,2,savings,35,none,own,2,skilled,1,no,yes,good
<0,30,ok_til_now,television,2522,<100,>=7,1,male_single,guarantor,3,savings,39,none,own,1,skilled,2,no,yes,good
<0,24,ok_til_now,car_new,915,unknown,>=7,4,female,none,2,car,29,bank,own,1,skilled,1,no,yes,bad
none,6,ok_til_now,television,1595,<100,<7,3,male_single,none,2,savings,51,none,own,1,skilled,2,no,yes,good
<0,48,ok,car_used,4605,<100,>=7,3,male_single,none,4,unknown,24,none,free,2,skilled,2,no,yes,bad
none,12,critical,business,1185,<100,<4,3,female,none,2,real_estate,27,none,own,2,skilled,1,no,yes,good
none,12,ok_at_this_bank,retraining,3447,<1000,<4,4,female,none,3,real_estate,35,none,own,1,unskilled,2,no,yes,good
none,24,ok_til_now,business,1258,<100,<7,4,male_single,none,1,real_estate,25,none,own,1,skilled,1,yes,yes,good
none,12,critical,television,717,<100,>=7,4,male_single,none,4,real_estate,52,none,own,3,skilled,1,no,yes,good
none,6,ok,car_new,1204,<500,<4,4,male_single,none,1,unknown,35,bank,rent,1,skilled,1,no,no,good
>=200,24,ok_til_now,furniture,1925,<100,<4,2,male_single,none,2,real_estate,26,none,own,1,skilled,1,no,yes,good
none,18,ok_til_now,television,433,<100,unemployed,3,female,co,4,real_estate,22,none,rent,1,skilled,1,no,yes,bad
<0,6,critical,car_new,666,>=1000,<7,3,female,none,4,real_estate,39,none,own,2,unskilled,1,yes,yes,good
>=200,12,ok_til_now,furniture,2251,<100,<4,1,female,none,2,car,46,none,own,1,unskilled,1,no,yes,good
<200,30,ok_til_now,car_new,2150,<100,<4,4,female,guarantor,2,unknown,24,bank,own,1,skilled,1,no,yes,bad
none,24,past_delays,furniture,4151,<500,<4,2,male_single,none,3,savings,35,none,own,2,skilled,1,no,yes,good
<200,9,ok_til_now,furniture,2030,unknown,<7,2,male_single,none,1,car,24,none,own,1,skilled,1,yes,yes,good
<200,60,past_delays,television,7418,unknown,<4,1,male_single,none,1,real_estate,27,none,own,1,unskilled,1,no,yes,good
none,24,critical,television,2684,<100,<4,4,male_single,none,2,real_estate,35,none,own,2,unskilled,1,no,yes,good
<0,12,ok_at_this_bank,television,2149,<100,<4,4,male_divorced,none,1,unknown,29,none,free,1,skilled,1,no,yes,bad
none,15,ok_til_now,car_used,3812,<500,<1,1,female,none,4,car,23,none,own,1,skilled,1,yes,yes,good
none,11,critical,television,1154,<500,unemployed,4,female,none,4,real_estate,57,none,own,3,unskilled,1,no,yes,good
<0,12,ok_til_now,furniture,1657,<100,<4,2,male_single,none,2,real_estate,27,none,own,1,skilled,1,no,yes,good
<0,24,ok_til_now,television,1603,<100,>=7,4,female,none,4,car,55,none,own,1,skilled,1,no,yes,good
<0,18,critical,car_new,5302,<100,>=7,2,male_single,none,4,unknown,36,none,free,3,management,1,yes,yes,good
none,12,critical,education,2748,<100,>=7,2,female,none,4,unknown,57,bank,free,3,unskilled,1,no,yes,good
none,10,critical,car_new,1231,<100,>=7,3,male_single,none,4,real_estate,32,none,own,2,unskilled,2,no,no,good
<200,15,ok_til_now,television,802,<100,>=7,4,male_single,none,3,car,37,none,own,1,skilled,2,no,yes,bad
none,36,critical,business,6304,unknown,>=7,4,male_single,none,4,real_estate,36,none,own,2,skilled,1,no,yes,good
none,24,ok_til_now,television,1533,<100,<1,4,female,none,3,car,38,stores,own,1,skilled,1,yes,yes,good
<0,14,ok_til_now,car_new,8978,<100,>=7,1,male_divorced,none,4,savings,45,none,own,1,management,1,yes,no,bad
none,24,ok_til_now,television,999,unknown,>=7,4,male_single,none,2,car,25,none,own,2,skilled,1,no,yes,good
none,18,ok_til_now,car_new,2662,unknown,<7,4,male_single,none,3,savings,32,none,own,1,skilled,1,no,no,good
none,12,critical,furniture,1402,<1000,<7,3,female,none,4,car,37,none,rent,1,skilled,1,yes,yes,good
<200,48,ok_at_this_bank,car_new,12169,unknown,unemployed,4,male_single,co,4,unknown,36,none,free,1,management,1,yes,yes,good
<200,48,ok_til_now,television,3060,<100,<7,4,male_single,none,4,real_estate,28,none,own,2,skilled,1,no,yes,bad
<0,30,ok_til_now,repairs,11998,<100,<1,1,male_divorced,none,1,unknown,34,none,own,1,unskilled,1,yes,yes,bad
none,9,ok_til_now,television,2697,<100,<4,1,male_single,none,2,real_estate,32,none,own,1,skilled,2,no,yes,good
none,18,critical,television,2404,<100,<4,2,female,none,2,car,26,none,own,2,skilled,1,no,yes,good
<0,12,ok_til_now,furniture,1262,unknown,>=7,2,male_divorced,none,4,savings,49,none,own,1,unskilled,1,yes,yes,good
none,6,ok_til_now,furniture,4611,<100,<1,1,female,none,4,savings,32,none,own,1,skilled,1,no,yes,bad
none,24,ok_til_now,television,1901,<500,<4,4,male_single,none,4,car,29,none,rent,1,management,1,yes,yes,good
none,15,critical,car_used,3368,>=1000,>=7,3,male_single,none,4,unknown,23,none,rent,2,skilled,1,yes,yes,good
none,12,ok_til_now,furniture,1574,<100,<4,4,male_single,none,2,real_estate,50,none,own,1,skilled,1,no,yes,good
>=200,18,ok_at_this_bank,television,1445,unknown,<7,4,male_single,none,4,car,49,bank,own,1,unskilled,1,no,yes,good
none,15,critical,furniture,1520,unknown,>=7,4,male_single,none,4,savings,63,none,own,1,skilled,1,no,yes,good
<200,24,critical,car_new,3878,<500,<1,4,male_divorced,none,2,car,37,none,own,1,skilled,1,yes,yes,good
<0,47,ok_til_now,car_new,10722,<100,<1,1,female,none,1,real_estate,35,none,own,1,unskilled,1,yes,yes,good
<0,48,ok_til_now,car_used,4788,<100,<7,4,male_single,none,3,savings,26,none,own,1,skilled,2,no,yes,good
<200,48,past_delays,others,7582,<500,unemployed,2,male_single,none,4,unknown,31,none,free,1,management,1,yes,yes,good
<200,12,ok_til_now,television,1092,<100,<4,4,female,guarantor,4,real_estate,49,none,own,2,skilled,1,yes,yes,good
<0,24,past_delays,television,1024,<100,<1,4,male_married,none,4,real_estate,48,stores,own,1,skilled,1,no,yes,bad
none,12,ok_til_now,business,1076,<100,<4,2,male_married,none,2,real_estate,26,none,own,1,skilled,1,yes,no,good
<200,36,ok_til_now,car_used,9398,<100,<1,1,male_married,none,4,car,28,none,rent,1,management,1,yes,yes,bad
<0,24,critical,car_used,6419,<100,>=7,2,female,none,4,unknown,44,none,free,2,management,2,yes,yes,good
>=200,42,critical,car_used,4796,<100,>=7,4,male_single,none,4,unknown,56,none,free,1,skilled,1,no,yes,good
none,48,critical,business,7629,unknown,>=7,4,male_divorced,none,2,car,46,bank,own,2,management,2,no,yes,good
<200,48,ok_til_now,furniture,9960,<100,<1,1,female,none,2,car,26,none,own,1,skilled,1,yes,yes,bad
none,12,ok_til_now,car_used,4675,unknown,<1,1,female,none,4,car,20,none,rent,1,skilled,1,no,yes,good
none,10,ok_til_now,car_new,1287,unknown,>=7,4,male_single,co,2,savings,45,none,own,1,unskilled,1,no,no,good
none,18,ok_til_now,furniture,2515,<100,<4,3,male_single,none,4,real_estate,43,none,own,1,skilled,1,yes,yes,good
<200,21,critical,furniture,2745,>=1000,<7,3,male_single,none,2,car,32,none,own,2,skilled,1,yes,yes,good
none,6,ok_til_now,car_new,672,<100,unemployed,1,female,none,4,real_estate,54,none,own,1,unemployed,1,yes,yes,good
<200,36,ok,television,3804,<100,<4,4,female,none,1,car,42,none,own,1,skilled,1,yes,yes,bad
>=200,24,critical,car_new,1344,unknown,<7,4,male_single,none,2,real_estate,37,bank,own,2,unskilled,2,no,yes,bad
<0,10,critical,car_new,1038,<100,<7,4,male_single,co,3,savings,49,none,own,2,skilled,1,yes,yes,good
none,48,critical,car_new,10127,<1000,<4,2,male_single,none,2,unknown,44,bank,free,1,skilled,1,no,yes,bad
none,6,ok_til_now,furniture,1543,>=1000,<4,4,male_divorced,none,2,real_estate,33,none,own,1,skilled,1,no,yes,good
none,30,ok_til_now,car_used,4811,unknown,<7,2,female,none,4,savings,24,stores,rent,1,unskilled,1,no,yes,good
<0,12,ok_til_now,television,727,<500,<1,4,male_married,none,3,unknown,33,none,own,1,unskilled,1,yes,yes,bad
<200,8,ok_til_now,furniture,1237,<100,<4,3,female,none,4,real_estate,24,none,own,1,skilled,1,no,yes,bad
<200,9,ok_til_now,car_new,276,<100,<4,4,male_married,none,4,real_estate,22,none,rent,1,unskilled,1,no,yes,good
<200,48,ok_til_now,others,5381,unknown,unemployed,3,male_single,none,4,unknown,40,bank,free,1,unemployed,1,yes,yes,good
none,24,ok_til_now,furniture,5511,<500,<4,4,male_single,none,1,car,25,stores,own,1,skilled,1,no,yes,good
>=200,24,ok_til_now,furniture,3749,<100,<1,2,female,none,4,car,26,none,own,1,skilled,1,no,yes,good
<200,12,ok_til_now,car_new,685,<100,<7,2,male_married,none,3,car,25,bank,own,1,unskilled,1,no,yes,bad
>=200,4,ok_til_now,car_new,1494,unknown,<1,1,male_single,none,2,real_estate,29,none,own,1,unskilled,2,no,no,good
<0,36,ok_at_this_bank,furniture,2746,<100,>=7,4,male_single,none,4,car,31,bank,own,1,skilled,1,no,yes,bad
<0,12,ok_til_now,furniture,708,<100,<4,2,male_single,guarantor,3,savings,38,none,own,1,unskilled,2,no,yes,good
<200,24,ok_til_now,furniture,4351,unknown,<4,1,female,none,4,savings,48,none,own,1,unskilled,1,yes,yes,good
none,12,critical,education,701,<100,<4,4,male_single,none,2,car,32,none,own,2,skilled,1,no,yes,good
<0,15,past_delays,furniture,3643,<100,>=7,1,female,none,4,savings,27,none,own,2,unskilled,1,no,yes,good
<200,30,critical,car_new,4249,<100,unemployed,4,male_married,none,2,car,28,none,own,2,management,1,no,yes,bad
<0,24,ok_til_now,television,1938,<100,<1,4,male_divorced,none,3,savings,32,none,own,1,skilled,1,no,yes,bad
<0,24,ok_til_now,car_used,2910,<100,<7,2,male_single,none,1,unknown,34,none,free,1,management,1,yes,yes,good
<0,18,ok_til_now,furniture,2659,>=1000,<4,4,male_single,none,2,car,28,none,own,1,skilled,1,no,yes,good
none,18,critical,car_new,1028,<100,<4,4,female,none,3,real_estate,36,none,own,2,skilled,1,no,yes,good
<0,8,critical,car_new,3398,<100,<7,1,male_single,none,4,real_estate,39,none,own,2,unskilled,1,no,no,good
none,12,critical,furniture,5801,unknown,>=7,2,male_single,none,4,savings,49,none,rent,1,skilled,1,yes,yes,good
none,24,ok_til_now,car_new,1525,>=1000,<7,4,female,none,3,car,34,none,own,1,skilled,2,yes,yes,good
>=200,36,ok_til_now,television,4473,<100,>=7,4,male_single,none,2,car,31,none,own,1,skilled,1,no,yes,good
<200,6,ok_til_now,television,1068,<100,>=7,4,male_single,none,4,car,28,none,own,1,skilled,2,no,yes,good
<0,24,critical,car_used,6615,<100,unemployed,2,male_single,none,4,unknown,75,none,free,2,management,1,yes,yes,good
none,18,critical,education,1864,<500,<4,4,female,none,2,real_estate,30,none,own,2,skilled,1,no,yes,bad
<200,60,ok_til_now,car_new,7408,<500,<1,4,female,none,2,savings,24,none,own,1,management,1,no,yes,bad
none,48,critical,car_used,11590,<500,<4,2,female,none,4,car,24,bank,rent,2,unskilled,1,no,yes,bad
<0,24,ok,furniture,4110,<100,>=7,3,male_single,none,4,unknown,23,bank,rent,2,skilled,2,no,yes,bad
<0,6,critical,furniture,3384,<100,<4,1,male_divorced,none,4,real_estate,44,none,rent,1,management,1,yes,yes,bad
<200,13,ok_til_now,television,2101,<100,<1,2,female,guarantor,4,savings,23,none,own,1,unskilled,1,no,yes,good
<0,15,ok_til_now,appliances,1275,unknown,<4,4,female,none,2,car,24,none,rent,1,skilled,1,no,yes,bad
<0,24,ok_til_now,furniture,4169,<100,<4,4,male_single,none,4,savings,28,none,own,1,skilled,1,no,yes,good
<200,10,ok_til_now,furniture,1521,<100,<4,4,male_divorced,none,2,car,31,none,own,1,unskilled,1,no,yes,good
<200,24,critical,education,5743,<100,<1,2,female,none,4,unknown,24,none,free,2,skilled,1,yes,yes,good
<0,21,ok_til_now,furniture,3599,<100,<7,1,female,none,4,car,26,none,rent,1,unskilled,1,no,yes,good
<200,18,ok_til_now,television,3213,<1000,<1,1,male_married,none,3,real_estate,25,none,rent,1,skilled,1,no,yes,good
<200,18,ok_til_now,business,4439,<100,>=7,1,male_single,co,1,real_estate,33,bank,own,1,management,1,yes,yes,good
>=200,10,ok_til_now,car_new,3949,<100,<1,1,male_single,guarantor,1,savings,37,none,own,1,unskilled,2,no,yes,good
none,15,critical,television,1459,<100,<4,4,female,none,2,car,43,none,own,1,unskilled,1,no,yes,good
<200,13,critical,television,882,<100,<1,4,male_single,guarantor,4,real_estate,23,none,own,2,skilled,1,no,yes,good
<200,24,ok_til_now,television,3758,<1000,unemployed,1,female,none,4,unknown,23,none,rent,1,unemployed,1,no,yes,good
none,6,past_delays,business,1743,<500,<4,1,male_single,none,2,real_estate,34,none,own,2,unskilled,1,no,yes,good
<200,9,critical,education,1136,>=1000,>=7,4,male_single,none,3,unknown,32,none,free,2,skilled,2,no,yes,bad
none,9,ok_til_now,appliances,1236,<100,<1,1,female,none,4,real_estate,23,none,rent,1,skilled,1,yes,yes,good
<200,9,ok_til_now,furniture,959,<100,<4,1,female,none,2,car,29,none,own,1,skilled,1,no,no,bad
none,18,critical,car_used,3229,unknown,unemployed,2,male_single,none,4,unknown,38,none,own,1,management,1,yes,yes,good
<0,12,ok,television,6199,<100,<4,4,male_single,none,2,savings,28,none,rent,2,skilled,1,yes,yes,bad
none,10,ok_til_now,education,727,<1000,>=7,4,male_single,none,4,unknown,46,none,free,1,skilled,1,yes,yes,good
<200,24,ok_til_now,car_new,1246,<100,<1,4,male_single,none,2,real_estate,23,stores,own,1,unskilled,1,no,yes,bad
none,12,critical,television,2331,unknown,>=7,1,male_single,co,4,real_estate,49,none,own,1,skilled,1,yes,yes,good
none,36,past_delays,television,4463,<100,<4,4,male_single,none,2,car,26,none,own,2,management,1,yes,yes,bad
none,12,ok_til_now,television,776,<100,<4,4,male_married,none,2,real_estate,28,none,own,1,skilled,1,no,yes,good
<0,30,ok_til_now,furniture,2406,<100,<7,4,female,none,4,real_estate,23,none,rent,1,skilled,1,no,yes,bad
<200,18,ok_til_now,education,1239,unknown,<4,4,male_single,none,4,unknown,61,none,free,1,skilled,1,no,yes,good
>=200,12,ok_til_now,television,3399,unknown,>=7,2,male_single,none,3,car,37,none,own,1,management,1,no,yes,good
>=200,12,past_delays,car_new,2247,<100,<4,2,female,none,2,car,36,stores,own,2,skilled,1,yes,yes,good
none,6,ok_til_now,furniture,1766,<100,<4,1,male_married,none,2,savings,21,none,rent,1,skilled,1,no,yes,good
<0,18,ok_til_now,furniture,2473,<100,unemployed,4,male_single,none,1,car,25,none,own,1,unemployed,1,no,yes,bad
none,12,ok_til_now,business,1542,<100,<7,2,male_single,none,4,car,36,none,own,1,skilled,1,yes,yes,good
none,18,critical,car_used,3850,<100,<7,3,male_single,none,1,car,27,none,own,2,skilled,1,no,yes,good
<0,18,ok_til_now,furniture,3650,<100,<1,1,female,none,4,car,22,none,rent,1,skilled,1,no,yes,good
<0,36,ok_til_now,furniture,3446,<100,>=7,4,male_single,none,2,car,42,none,own,1,skilled,2,no,yes,bad
<200,18,ok_til_now,furniture,3001,<100,<7,2,female,none,4,real_estate,40,none,rent,1,skilled,1,no,yes,good
none,36,ok_til_now,car_new,3079,unknown,<4,4,male_single,none,4,real_estate,36,none,own,1,skilled,1,no,yes,good
none,18,critical,television,6070,<100,>=7,3,male_single,none,4,car,33,none,own,2,skilled,1,yes,yes,good
none,10,critical,furniture,2146,<100,<1,1,female,none,3,real_estate,23,none,rent,2,skilled,1,no,yes,good
none,60,critical,car_new,13756,unknown,>=7,2,male_single,none,4,unknown,63,bank,free,1,management,1,yes,yes,good
<200,60,ok_at_this_bank,others,14782,<500,>=7,3,female,none,4,unknown,60,bank,free,2,management,1,yes,yes,bad
<0,48,ok_at_this_bank,business,7685,<100,<7,2,female,guarantor,4,car,37,none,rent,1,skilled,1,no,yes,bad
none,18,past_delays,television,2320,<100,unemployed,2,male_married,none,3,real_estate,34,none,own,2,skilled,1,no,yes,good
none,7,past_delays,television,846,unknown,>=7,3,male_single,none,4,unknown,36,none,free,1,skilled,1,no,yes,good
<200,36,ok_til_now,car_new,14318,<100,>=7,4,male_single,none,2,unknown,57,none,free,1,management,1,yes,yes,bad
none,6,critical,car_new,362,<500,<4,4,female,none,4,car,52,none,own,2,unskilled,1,no,yes,good
<0,20,ok_til_now,furniture,2212,unknown,<7,4,male_single,none,4,car,39,none,own,1,skilled,1,yes,yes,good
<200,18,ok_til_now,car_used,12976,<100,unemployed,3,female,none,4,unknown,38,none,free,1,management,1,yes,yes,bad
none,22,ok_til_now,car_new,1283,unknown,<7,4,female,none,4,savings,25,none,rent,1,skilled,1,no,yes,good
>=200,12,ok_til_now,car_new,1330,<100,<1,4,male_single,none,1,real_estate,26,none,own,1,skilled,1,no,yes,good
none,30,past_delays,business,4272,<500,<4,2,male_single,none,2,savings,26,none,own,2,unskilled,1,no,yes,good
none,18,critical,television,2238,<100,<4,2,female,none,1,car,25,none,own,2,skilled,1,no,yes,good
none,18,ok_til_now,television,1126,unknown,<1,4,female,none,2,real_estate,21,none,rent,1,skilled,1,yes,yes,good
<200,18,critical,furniture,7374,<100,unemployed,4,male_single,none,4,savings,40,stores,own,2,management,1,yes,yes,good
<200,15,critical,business,2326,<1000,<4,2,male_single,none,4,car,27,bank,own,1,skilled,1,no,yes,good
none,9,ok_til_now,business,1449,<100,<7,3,female,none,2,car,27,none,own,2,skilled,1,no,yes,good
none,18,ok_til_now,car_new,1820,<100,<4,2,male_married,none,2,savings,30,none,own,1,management,1,yes,yes,good
<200,12,ok_til_now,furniture,983,>=1000,<1,1,female,none,4,real_estate,19,none,rent,1,unskilled,1,no,yes,good
<0,36,ok_til_now,car_new,3249,<100,<7,2,male_single,none,4,unknown,39,bank,free,1,management,2,yes,yes,good
<0,6,critical,television,1957,<100,<7,1,female,none,4,car,31,none,own,1,skilled,1,no,yes,good
none,9,critical,furniture,2406,<100,unemployed,2,male_single,none,3,car,31,none,own,1,management,1,no,yes,good
<200,39,past_delays,education,11760,<500,<7,2,male_single,none,3,unknown,32,none,rent,1,skilled,1,yes,yes,good
<0,12,ok_til_now,furniture,2578,<100,unemployed,3,female,none,4,unknown,55,none,free,1,management,1,no,yes,good
<0,36,critical,furniture,2348,<100,<4,3,male_married,none,2,savings,46,none,own,2,skilled,1,yes,yes,good
<200,12,ok_til_now,car_new,1223,<100,>=7,1,male_divorced,none,1,real_estate,46,none,rent,2,skilled,1,no,yes,bad
none,24,critical,television,1516,>=1000,<4,4,female,none,1,real_estate,43,none,own,2,unskilled,1,no,yes,good
none,18,ok_til_now,television,1473,<100,<1,3,male_married,none,4,real_estate,39,none,own,1,skilled,1,yes,yes,good
<200,18,critical,business,1887,unknown,<4,4,male_married,none,4,real_estate,28,bank,own,2,skilled,1,no,yes,good
none,24,past_delays,business,8648,<100,<1,2,male_single,none,2,car,27,bank,own,2,skilled,1,yes,yes,bad
none,14,past_delays,car_new,802,<100,<4,4,male_single,none,2,car,27,none,own,2,unskilled,1,no,yes,good
<200,18,past_delays,car_new,2899,unknown,>=7,4,male_single,none,4,car,43,none,own,1,skilled,2,no,yes,good
<200,24,ok_til_now,television,2039,<100,<1,1,male_married,none,1,savings,22,none,own,1,skilled,1,yes,yes,bad
none,24,critical,car_used,2197,unknown,<7,4,male_single,none,4,car,43,none,own,2,skilled,2,yes,yes,good
<0,15,ok_til_now,television,1053,<100,<1,4,male_married,none,2,real_estate,27,none,own,1,skilled,1,no,no,good
none,24,ok_til_now,television,3235,<1000,>=7,3,male_divorced,none,2,car,26,none,own,1,management,1,yes,yes,good
>=200,12,critical,car_new,939,<1000,<7,4,male_married,none,2,real_estate,28,none,own,3,skilled,1,yes,yes,bad
<200,24,ok_til_now,television,1967,<100,>=7,4,female,none,4,car,20,none,own,1,skilled,1,yes,yes,good
none,33,critical,car_used,7253,<100,<7,3,male_single,none,2,car,35,none,own,2,management,1,yes,yes,good
none,12,critical,business,2292,<100,unemployed,4,male_single,none,2,car,42,stores,own,2,management,1,yes,yes,bad
none,10,ok_til_now,car_new,1597,<1000,<4,3,male_single,none,2,unknown,40,none,rent,1,unskilled,2,no,no,good
<0,24,ok_til_now,car_new,1381,unknown,<4,4,female,none,2,savings,35,none,own,1,skilled,1,no,yes,bad
none,36,critical,car_used,5842,<100,>=7,2,male_single,none,2,savings,35,none,own,2,skilled,2,yes,yes,good
<0,12,ok_til_now,car_new,2579,<100,<1,4,male_single,none,1,real_estate,33,none,own,1,unskilled,2,no,yes,bad
<0,18,past_delays,education,8471,unknown,<4,1,female,none,2,car,23,none,rent,2,skilled,1,yes,yes,good
none,21,ok_til_now,car_new,2782,<1000,<7,1,female,none,2,car,31,bank,own,1,management,1,no,yes,good
<200,18,ok_til_now,car_new,1042,unknown,<4,4,female,none,2,savings,33,none,own,1,skilled,1,no,yes,bad
none,15,ok_til_now,car_new,3186,>=1000,<7,2,female,none,3,car,20,none,rent,1,skilled,1,no,yes,good
<200,12,ok_til_now,car_used,2028,unknown,<4,4,male_single,none,2,car,30,none,own,1,skilled,1,no,yes,good
<200,12,critical,car_new,958,<100,<7,2,male_single,none,3,real_estate,47,none,own,2,unskilled,2,no,yes,good
none,21,past_delays,furniture,1591,<500,<7,4,male_single,none,3,real_estate,34,none,own,2,management,1,no,yes,good
<200,12,ok_til_now,furniture,2762,unknown,>=7,1,female,none,2,savings,25,bank,own,1,skilled,1,yes,yes,bad
<200,18,ok_til_now,car_used,2779,<100,<4,1,male_married,none,3,car,21,none,rent,1,skilled,1,yes,yes,good
none,28,critical,television,2743,<100,>=7,4,male_single,none,2,car,29,none,own,2,skilled,1,no,yes,good
none,18,critical,television,1149,>=1000,<4,4,male_single,none,3,real_estate,46,none,own,2,skilled,1,no,yes,good
none,9,ok_til_now,furniture,1313,<100,>=7,1,male_single,none,4,car,20,none,own,1,skilled,1,no,yes,good
<0,18,critical,repairs,1190,<100,unemployed,2,female,none,4,unknown,55,none,free,3,unemployed,2,no,yes,bad
none,5,ok_til_now,business,3448,<100,<7,1,male_single,none,4,real_estate,74,none,own,1,unskilled,1,no,yes,good
<200,24,ok_til_now,others,11328,<100,<4,2,male_single,co,3,car,29,bank,own,2,management,1,yes,yes,bad
<0,6,critical,furniture,1872,<100,unemployed,4,male_single,none,4,unknown,36,none,free,3,management,1,yes,yes,good
none,24,critical,repairs,2058,<100,<4,4,male_divorced,none,2,real_estate,33,none,own,2,skilled,1,yes,yes,good
<0,9,ok_til_now,furniture,2136,<100,<4,3,male_single,none,2,real_estate,25,none,own,1,skilled,1,no,yes,good
<200,12,ok_til_now,television,1484,unknown,<4,2,male_married,none,1,real_estate,25,none,own,1,skilled,1,yes,yes,bad
none,6,ok_til_now,repairs,660,<1000,<7,2,male_married,none,4,real_estate,23,none,rent,1,unskilled,1,no,yes,good
none,24,critical,car_new,1287,>=1000,>=7,4,female,none,4,real_estate,37,none,own,2,skilled,1,yes,yes,good
<0,42,critical,repairs,3394,<100,unemployed,4,male_single,co,4,car,65,none,own,2,unemployed,1,no,yes,good
>=200,12,ok_at_this_bank,business,609,<100,<1,4,female,none,1,real_estate,26,none,own,1,unemployed,1,no,yes,bad
none,12,ok_til_now,car_new,1884,<100,>=7,4,male_single,none,4,car,39,none,own,1,management,1,yes,yes,good
<0,12,ok_til_now,furniture,1620,<100,<4,2,female,co,3,savings,30,none,own,1,skilled,1,no,yes,good
<200,20,past_delays,others,2629,<100,<4,2,male_single,none,3,car,29,bank,own,2,skilled,1,yes,yes,good
none,12,ok_til_now,education,719,<100,>=7,4,male_single,none,4,car,41,bank,own,1,unskilled,2,no,yes,bad
<200,48,critical,furniture,5096,<100,<4,2,female,none,3,car,30,none,own,1,management,1,yes,yes,bad
none,9,critical,education,1244,unknown,>=7,4,female,none,4,savings,41,none,rent,2,unskilled,1,no,yes,good
<0,36,ok_til_now,car_new,1842,<100,<1,4,female,none,4,car,34,none,own,1,skilled,1,yes,yes,bad
<200,7,ok_til_now,television,2576,<100,<4,2,male_single,guarantor,2,real_estate,35,none,own,1,skilled,1,no,yes,good
>=200,12,ok_til_now,furniture,1424,unknown,>=7,3,female,none,4,real_estate,55,none,own,1,management,1,yes,yes,good
<200,15,past_delays,repairs,1512,>=1000,<4,3,male_married,none,3,savings,61,stores,own,2,skilled,1,no,yes,bad
