custid,region,townsize,gender,age,agecat,ed,edcat,income,debtinc,churn
0915-CAKCFB-GSU,1,2,0,22,2,14,2,19,9.2,0
6673-CXXSZY-LRG,1,1,0,22,2,17,4,25,27.2,0
4309-WQQLQH-ZOI,1,3,0,24,2,14,2,47,13.7,1
4631-NGDAQE-YYF,4,5,0,77,6,8,1,9,19.9,0
0400-DJWIIC-FEW,3,4,1,18,2,13,2,14,5.8,1
5004-SWJVRC-G3T,1,1,0,44,4,17,4,60,21.2,0
7105-ORRHUA-CHB,1,2,1,42,4,15,3,21,8.5,0
4316-WQSXNZ-J9C,5,3,1,39,4,17,4,54,15.5,0
4129-FSTETP-3BF,5,2,1,24,2,14,2,32,8.9,1
1851-APAMDI-9GB,5,5,1,74,6,13,2,12,1.9,0
2775-OZNOVC-6WC,5,2,0,39,4,18,4,67,8.2,1
8759-ITPNSL-XL6,5,4,0,25,3,17,4,19,1.1,0
6658-YMWEDL-9CS,4,5,0,42,4,18,4,40,4.5,0
3289-XJNMAU-7HT,5,5,0,32,3,22,5,21,2.3,1
9987-TYXPMR-SYS,4,4,0,76,6,20,5,179,5.1,0
7263-AEWEKA-SU2,2,3,1,28,3,8,1,17,7.7,0
0439-PITRZR-4GK,3,2,0,31,3,15,3,21,6.4,1
6641-UYKMJY-7Y6,5,5,0,28,3,13,2,28,4.1,0
4012-LXDQWA-74N,5,2,0,31,3,14,2,28,12.2,1
5483-UPUYLE-9GI,1,2,0,56,5,16,3,170,4.5,1
7607-GOQTPA-B4L,2,2,1,61,5,12,2,129,13,0
9730-HTXQGE-VQU,1,3,0,46,4,16,3,29,13.7,0
8486-GACXIF-M31,3,5,1,18,2,13,2,28,16.4,0
3462-SCLMCN-2BU,4,4,0,48,4,14,2,46,0.7,1
8807-NPCRLG-3LX,2,1,1,28,3,21,5,77,11.1,0
2211-NVOCWS-T17,5,4,1,28,3,18,4,70,3.1,1
3675-ORXDIG-S0B,1,1,1,50,5,12,2,31,1.5,1
0910-RCCSUI-ECP,1,2,1,66,6,8,1,48,14.9,0
4273-YIIQIX-HWY,1,4,0,43,4,15,3,30,18,1
7199-XZZDDR-G1N,3,2,1,79,6,12,2,98,11.7,0
5076-BXUAKZ-0Y0,1,4,1,44,4,18,4,57,8.2,0
5312-UQYWKD-TD9,5,3,0,71,6,12,2,137,1.4,0
5816-OPMQHG-U3B,1,2,1,31,3,19,4,56,7.2,1
1227-UVXTFQ-LIH,5,3,0,60,5,15,3,142,14.5,0
4185-MLJWGK-0LF,1,2,0,24,2,8,1,20,1.8,0
9075-CQTWMV-AUE,1,3,0,23,2,12,2,15,6.2,0
1083-PBHZLD-1OD,5,1,1,70,6,16,3,49,14.1,1
7922-BXFWLZ-42B,4,4,0,29,3,17,4,32,7.1,0
3870-RUGFIR-XKA,1,1,1,18,2,13,2,22,0.8,0
4579-MMSLXL-UBQ,1,1,0,53,5,11,1,74,17.3,0
2198-TTFSPH-RFL,3,1,0,39,4,17,4,38,4.1,0
2347-CJQMII-HZQ,4,2,1,62,5,13,2,47,10.6,0
3278-BJQSLL-CUE,5,1,0,55,5,18,4,112,3.6,0
3957-YFDRRZ-S0R,1,2,1,78,6,8,1,19,9.4,0
0874-RLIDFE-DKM,1,1,1,34,3,10,1,29,3.7,0
7709-ANYDPO-S7H,5,5,0,78,6,8,1,12,2.5,0
6175-CLPXTL-KC5,4,5,0,21,2,16,3,21,24.3,0
5590-QCTOSS-I2E,1,4,0,24,2,17,4,18,7.4,0
4253-IRSCSK-51I,2,4,1,21,2,16,3,31,8.2,0
1450-QBPTGG-TTM,1,1,0,42,4,17,4,79,6.5,0
1577-VXNSMP-M3E,5,5,1,38,4,16,3,113,2.9,0
1852-FJUREZ-J28,1,2,0,62,5,12,2,160,12,0
2363-BCFMDR-43O,1,1,0,53,5,12,2,83,5.1,0
2670-UQJKZH-ZNG,5,4,1,63,5,17,4,14,7.5,0
9834-TWWKKW-HCR,5,5,0,54,5,15,3,97,3.2,0
4763-UVSQEC-EDO,4,3,1,59,5,13,2,46,12.6,0
8896-WHEJJN-O7O,3,5,0,57,5,15,3,111,15.3,0
3900-KDRPVP-CCX,2,4,0,68,6,16,3,37,4.2,0
4517-HGJRML-44A,5,1,0,26,3,17,4,43,2.4,1
1916-SNNAIP-MIQ,4,3,1,46,4,14,2,33,8.3,1
9343-WKHXRS-9B8,3,4,1,37,4,18,4,102,11,1
6811-GXLFHF-AA2,1,2,1,42,4,11,1,42,12.9,0
0616-WAHGED-HDU,5,3,0,48,4,14,2,92,16.1,1
5926-ZSEVEY-F73,5,4,0,27,3,13,2,33,10.4,0
8176-RFURSX-GVJ,1,2,1,28,3,11,1,27,7.3,1
2858-QGCFXO-7P0,4,2,1,48,4,16,3,23,25.4,0
4297-QGKHSA-LDY,2,4,1,40,4,11,1,27,13,0
3554-OJYRAN-YVT,1,1,0,56,5,10,1,32,15.8,0
0595-DEWLHU-9QX,5,3,0,60,5,9,1,44,21.6,0
5861-QRWWMH-FOW,2,1,1,61,5,21,5,42,18.4,0
0082-NSSEDJ-QLZ,5,2,0,34,3,16,3,50,7.6,1
3757-RXQZKA-3PB,2,2,1,75,6,11,1,15,9.8,0
1216-GMTFVY-OY2,2,2,1,25,3,13,2,22,5.1,0
8057-OLFUBF-NJY,2,2,1,31,3,14,2,40,27.9,0
3232-SAGNKW-09U,5,2,1,40,4,12,2,71,11.6,0
7527-GRDEGA-M5T,1,1,0,66,6,10,1,88,15.4,0
7610-MZWISR-QEB,5,5,0,31,3,16,3,23,9.8,1
9380-CEFWSG-TR8,3,3,1,21,2,16,3,29,2.1,1
5500-UWXWAH-7JA,4,3,1,67,6,11,1,11,11.7,0
7196-HOKKVE-77Z,1,1,0,30,3,19,4,23,3.9,1
2167-LOKFNB-F1W,1,1,0,64,5,15,3,69,18.2,0
5400-HITPYS-IVV,4,4,0,53,5,15,3,83,19.6,0
7605-ONWIDT-OU0,3,4,1,19,2,14,2,21,5.1,1
0587-AGUSYJ-NOR,2,2,0,69,6,16,3,60,15.4,0
1727-IMJADL-GHZ,2,1,1,71,6,18,4,20,14.4,0
5245-GTQIJJ-C89,1,1,0,25,3,16,3,29,13.9,1
7422-CULYVD-6HH,2,3,1,75,6,11,1,48,3,0
0644-DTJAYD-9JK,3,4,1,39,4,18,4,38,15.6,1
3021-BRYKZT-9EP,4,4,1,41,4,14,2,37,18.3,1
2681-MOWKDD-1WV,3,4,0,76,6,12,2,68,9.6,0
4658-VETXPI-KJJ,4,4,1,53,5,20,5,88,12.9,0
7254-GKAZNV-X3I,1,1,0,21,2,15,3,44,8.3,0
6446-TPSGXP-7M9,3,2,1,54,5,14,2,90,3.1,1
9122-PFMHXH-M31,1,3,0,47,4,10,1,29,5.8,0
4051-HMTRTW-XKC,5,5,1,50,5,11,1,35,1.7,0
4420-KFHEEQ-C35,2,2,1,48,4,17,4,91,3,0
4992-SKSPGD-T2A,5,4,0,69,6,9,1,29,8.9,0
0331-DSSQNF-CN0,3,4,1,29,3,19,4,24,14.2,0
3786-MCAVDN-WCA,5,2,1,35,4,19,4,49,15.9,1
6659-PCCIGW-S64,2,1,0,22,2,15,3,20,3.1,0
0375-GLYKLB-UWH,3,3,1,51,5,8,1,68,14.8,0
2084-WBCKVO-E7E,4,5,1,69,6,14,2,72,21.1,0
3644-HIVVTG-4X9,3,1,0,34,3,18,4,29,9.3,0
0856-WIQVNW-8X9,2,1,0,47,4,14,2,74,13.4,0
3281-LEIHNN-WXT,1,1,1,77,6,14,2,10,15.7,0
4166-FORUSS-SV2,5,4,1,37,4,12,2,35,2.3,1
1189-ZTXTHP-D6Z,1,1,0,75,6,23,5,68,11.9,0
4718-PRPJMN-G18,2,2,1,52,5,13,2,33,18.3,0
9491-FAHNZV-U05,2,2,1,25,3,15,3,16,17.4,0
4375-QMTCGM-VAG,3,1,0,46,4,12,2,63,19.8,0
6868-QULCZX-N11,3,2,0,59,5,11,1,159,11.3,0
6991-RPVZNV-2S4,5,5,1,33,3,17,4,37,9.3,0
8652-FHVYTV-733,1,4,0,61,5,9,1,34,12.8,0
8267-MZTNYW-CEQ,5,1,1,75,6,11,1,15,15.8,0
9890-EGNIOS-BWR,2,4,1,35,4,15,3,30,2.7,1
0450-DSWNCJ-69N,1,2,1,41,4,11,1,42,7.5,0
2177-HGKDZL-NV5,2,1,0,37,4,11,1,28,10.9,0
9219-SKMXVG-KO5,3,3,1,57,5,15,3,31,5.6,0
6191-MCZORB-TXX,5,2,0,39,4,13,2,53,5.4,0
3689-EBNKFV-ZQ3,1,1,1,60,5,14,2,59,17.3,0
9839-XDOELB-L4D,5,3,1,21,2,15,3,29,10.3,0
7682-YJAJQX-74R,4,4,0,22,2,12,2,21,6.5,1
9389-BCPUDZ-KKD,2,1,1,65,6,15,3,41,9,0
7171-GXYUTW-OF0,2,1,1,72,6,12,2,29,9.4,0
6094-IJGBOJ-7L6,2,2,1,42,4,12,2,92,9.7,0
1708-FTDRQN-MYP,3,4,1,56,5,13,2,26,3.6,0
1484-QEODBZ-1P4,4,2,1,46,4,14,2,59,16.9,0
5657-GLVSOB-7JR,1,2,1,74,6,14,2,18,13.9,0
5332-IHQPWH-72A,2,1,0,29,3,17,4,16,11.2,1
9028-KURTGQ-O61,4,4,1,25,3,19,4,22,13.9,0
5303-MFNEPP-GGF,3,1,1,18,2,13,2,16,12.2,0
8395-BLTIRZ-TKI,1,1,0,69,6,10,1,9,34.1,0
5570-UBZQVB-V31,4,4,1,71,6,16,3,209,1.1,0
8558-BHAKRJ-QTS,1,2,1,42,4,11,1,30,16.9,0
0016-YQHYTA-32U,5,5,1,27,3,16,3,72,11.3,0
2407-DZNLGH-P63,1,2,0,18,2,13,2,24,10.4,0
0008-ZIQQOT-SGB,3,1,1,40,4,21,5,138,6.2,1
6823-GGYTNB-AZF,2,1,0,24,2,12,2,15,7.3,0
3923-ZOSAYQ-53X,3,4,0,54,5,21,5,108,5.4,1
0261-LJPDKI-ASJ,1,2,1,63,5,20,5,87,9.1,1
9516-LVHKOJ-VNA,3,1,0,24,2,18,4,42,1.6,0
1830-MQTMVB-DRW,5,5,0,35,4,11,1,25,8.1,0
7700-IKRIUD-7M2,2,3,1,24,2,11,1,20,2.5,0
5462-YVMWHG-3KQ,1,1,0,36,4,17,4,23,3.1,1
7338-XSQMNF-6EV,2,1,0,45,4,13,2,57,4.6,1
6835-ICMHVZ-Y5G,2,2,1,45,4,12,2,32,14.7,0
0849-BXGGUY-7HY,4,1,0,52,5,13,2,140,0.1,0
9094-CFHMCP-U8X,2,1,1,53,5,13,2,106,5.2,0
6003-XWNRZT-MGG,2,2,1,33,3,9,1,23,15.7,0
8163-VZDYGX-PE1,3,1,1,53,5,16,3,103,10.1,0
4878-CQURAP-WRK,1,1,1,42,4,10,1,45,13.5,0
9052-INWTCF-LXX,2,1,1,25,3,17,4,23,2,0
0737-UBLEAP-BI1,5,1,1,69,6,12,2,115,41,0
2448-XAAFIA-R0M,4,4,0,77,6,12,2,53,8.2,0
1335-XRUKVB-2ZH,1,1,1,49,4,14,2,66,2,0
7091-HJWHFE-155,5,2,1,70,6,10,1,74,5,0
6810-EIBFWE-V11,4,2,0,72,6,15,3,261,14.3,0
0064-OBMVYI-GHS,4,5,0,60,5,14,2,88,11.2,1
4649-SYAAXJ-QEN,5,5,0,76,6,12,2,11,9.8,0
0335-TBOJAS-KB0,5,4,0,38,4,13,2,54,3.4,0
9872-SOCOTU-XIW,1,3,0,22,2,17,4,20,3.7,0
5526-IVQCPP-ASK,1,5,0,31,3,14,2,30,15.2,0
3502-AMCOYD-807,2,1,0,30,3,11,1,23,5.3,0
7037-LNYNXA-PMX,3,2,1,75,6,10,1,22,10.6,0
4069-WOXDZW-2Y0,1,1,1,27,3,20,5,89,10.3,0
4086-MRSPNN-LP6,4,4,0,63,5,17,4,44,9.8,0
4622-EVSSLJ-PV5,3,2,1,73,6,9,1,25,7.3,0
6700-XXBTLR-PPV,3,2,0,22,2,17,4,35,28.3,1
5084-NNXKTN-2CV,4,4,1,27,3,15,3,34,11.7,0
7689-TDZAHY-IJT,1,2,0,72,6,13,2,12,4.2,0
7415-UXYHFW-BER,5,3,0,44,4,14,2,35,5.5,0
7488-XUYVKZ-JPS,4,1,1,24,2,12,2,21,1.9,0
9479-CQKHZE-55V,5,4,0,77,6,17,4,90,2.8,0
4105-ULOEFY-SDR,5,4,1,19,2,14,2,17,4.9,0
1267-TVPTNR-N76,4,1,1,47,4,10,1,46,6.6,1
9860-KXZFDN-O45,2,2,1,48,4,11,1,36,17.3,0
9803-GWCZVU-I7L,4,3,1,34,3,19,4,47,21.5,1
3270-QSARFQ-UMS,2,2,0,59,5,15,3,32,13.8,0
2572-TXKMZK-B60,5,3,0,68,6,16,3,148,23,0
6517-YLQZRM-5CF,1,4,0,28,3,11,1,37,6.5,0
5333-SDOOMS-LAF,3,4,0,41,4,15,3,33,3.9,0
5930-CFEQCN-XBG,3,1,1,69,6,15,3,48,8.7,0
0445-EFSRZJ-LOA,5,4,1,43,4,15,3,93,1.6,0
6604-BOFYIN-ONY,1,2,1,28,3,10,1,39,5.3,0
7650-JRHPKQ-VI6,3,5,1,21,2,16,3,40,5.1,1
6094-EPZMXC-DXH,2,2,1,19,2,14,2,13,1.6,0
3792-OVVOIC-8JN,1,1,1,38,4,13,2,52,22.6,0
8438-AHNURO-0GW,5,3,1,23,2,12,2,22,7.1,1
6517-NLNRJI-AFM,2,3,0,72,6,14,2,137,18.2,0
6502-SRXLSL-ZSM,3,4,0,48,4,14,2,134,12.1,0
2296-WOKKTE-DIJ,5,1,0,50,5,13,2,91,14,0
5516-UBUEHQ-O7B,3,1,0,63,5,10,1,77,5.7,0
7896-KFFAVT-76W,4,5,0,79,6,13,2,12,4.8,0
2874-SMDULU-1HO,3,1,1,61,5,15,3,46,6.4,0
7281-VJURIT-SRK,1,1,0,51,5,11,1,36,5.3,0
7084-OCYHDH-LRO,5,3,0,35,4,14,2,29,9.3,1
2320-VQPIQQ-GNI,5,4,1,31,3,12,2,31,18.4,0
1426-IRWTBI-PKH,1,5,1,44,4,16,3,41,18,0
7230-DVRBWH-SZ0,1,4,1,31,3,21,5,156,2.7,1
2487-LLEKYF-P0D,1,2,1,63,5,8,1,37,0.9,0
9487-AJXUQN-5NH,5,4,1,52,5,11,1,41,11.5,0
5647-SWFORN-UGC,1,2,0,39,4,19,4,37,3.2,0
5214-EMOQLI-MIU,5,3,0,64,5,10,1,52,10.7,0
9255-ICUGTA-OH6,2,3,0,35,4,12,2,19,13.1,0
8092-HQOERF-AHP,3,3,1,22,2,17,4,20,6.9,1
4605-FVFZLW-MP8,5,5,0,21,2,11,1,16,12,1
4798-XIHEUW-NY0,4,1,0,24,2,18,4,30,4.4,0
3324-QPKGNA-59G,1,1,0,34,3,13,2,45,10.9,0
0267-TXVXFC-QBE,3,1,0,61,5,19,4,22,10.5,1
9285-NQRIGC-6I9,1,2,1,62,5,15,3,68,1.5,1
6513-UJNIWN-O11,5,5,0,68,6,14,2,69,9,0
2413-MRKILA-6I1,2,1,0,78,6,16,3,28,5.1,0
8852-WPIPHR-QDD,5,5,1,39,4,13,2,64,16.1,0
8319-XZASXD-7S2,4,2,0,40,4,14,2,44,19.1,0
1862-HPKAOZ-82F,4,1,1,51,5,14,2,27,9,0
0257-JWKZZF-G0Y,5,5,1,63,5,10,1,14,6.9,0
6284-TQRXAR-KJP,4,3,0,78,6,7,1,16,17.6,0
4927-ETLYDE-I4V,1,1,0,53,5,17,4,61,7,1
7709-XCRQNL-QFL,5,5,1,52,5,18,4,119,18.4,0
9327-NQZHKL-ZQC,2,4,0,52,5,10,1,67,4.1,0
2987-WVITXQ-8ZF,3,3,1,42,4,14,2,91,8.2,0
5921-EFSYCL-UKM,2,1,0,48,4,11,1,117,1.4,0
7268-PIGTZV-ZZY,1,2,1,69,6,12,2,18,12.6,0
0733-OEAGXJ-D51,5,5,1,51,5,9,1,57,0.7,0
0349-TNFGFC-ZAA,2,1,0,53,5,14,2,40,3.1,1
1089-KBCLRM-XU9,1,4,1,56,5,20,5,48,17.9,0
5121-NOTELI-Y7Y,1,5,1,37,4,14,2,81,6.9,0
4871-LTQCLI-RTA,5,5,0,18,2,13,2,25,7.5,0
0003-RLTRGE-IW2,1,1,0,52,5,11,1,85,2,1
0769-SEYBEV-38O,2,2,0,21,2,12,2,20,1.7,1
2595-GKBUAC-XWF,1,2,1,64,5,8,1,133,9.8,0
3300-SCKHBH-UBF,2,4,0,23,2,12,2,28,6.4,0
0982-KNZQRH-84Z,3,1,0,40,4,15,3,33,10.7,0
3914-QCIBKN-54B,5,4,0,72,6,10,1,88,29.2,0
6730-HNVDWC-0WE,3,1,0,51,5,8,1,52,11.3,0
8712-BMUXQO-1OV,3,4,1,74,6,7,1,11,11.8,0
8786-EBXLMS-GTI,5,4,1,73,6,20,5,130,2.2,0
3491-OKPJLS-IP6,3,5,1,26,3,14,2,37,8.6,0
1581-ZCJWIG-F7G,3,2,1,38,4,12,2,33,7.7,0
0538-YBYBTV-M73,3,2,1,25,3,20,5,40,8.4,1
2790-WKBKUI-SYH,5,5,1,26,3,12,2,19,1.9,1
2197-RKAIUP-8RK,5,5,0,22,2,16,3,44,3,1
1791-IFXSVM-OM7,5,2,1,70,6,13,2,9,14.6,0
0107-IFJBTR-1JZ,3,1,0,44,4,17,4,123,15.8,0
8742-LWTONK-ER7,5,3,0,57,5,9,1,54,12,0
7285-QIPKCQ-GAJ,3,3,0,29,3,20,5,137,1.5,0
3948-QYMTYJ-AWC,2,5,0,29,3,16,3,35,10.1,1
5755-CQBOTL-4WI,1,2,1,45,4,12,2,38,4.7,0
7904-IFWZKG-GXM,4,4,0,51,5,21,5,218,6.1,1
6210-DHPOYZ-UQ7,4,3,1,64,5,15,3,35,9.7,0
4936-ZXVMAD-2BM,5,5,0,28,3,18,4,33,4.2,0
6143-ZQRFPU-VAW,4,1,1,77,6,12,2,21,3.1,0
0133-TBTJGH-37J,3,3,0,66,6,14,2,11,27.5,0
6250-LFTFQQ-LVV,3,5,1,23,2,15,3,14,23,0
6013-AOTWOI-QEC,1,1,0,44,4,16,3,91,1.1,1
8863-IGECRD-VXX,3,1,0,75,6,11,1,20,7,0
5313-ZRVTIG-3GU,3,3,1,56,5,12,2,102,5.5,0
8807-PQIEDY-00D,2,1,0,35,4,15,3,66,1.5,0
0397-SGLLTF-HUD,1,1,1,24,2,19,4,44,5.7,1
8700-OICYFA-DCR,3,1,1,35,4,18,4,44,17.1,1
2183-SBNRFZ-9JC,3,5,1,59,5,19,4,67,17.5,0
3695-IXERGB-NC2,4,2,0,33,3,15,3,20,3.1,0
6078-VFGDQF-Y3K,2,4,0,56,5,15,3,38,5.8,0
4098-XZBUNU-BVM,2,1,1,56,5,20,5,76,6.3,1
9244-NELAGU-B8N,3,5,1,39,4,16,3,49,8.6,0
1527-FTFBNO-JT3,2,4,1,41,4,10,1,40,3.9,0
0348-CKKPNL-H6A,3,2,0,21,2,16,3,27,11.6,0
2391-TGZPUJ-VFZ,2,1,1,51,5,17,4,70,19.2,0
8691-NEWRIL-2QR,4,3,0,37,4,16,3,38,2.6,0
0149-BQASNG-OUW,5,4,0,29,3,10,1,38,11,0
4695-GKGJEO-J80,3,1,1,78,6,8,1,15,15.9,0
0856-OUKUNA-PD5,3,3,1,41,4,22,5,40,18.2,1
4896-VFIEDV-RLO,4,5,0,46,4,16,3,44,1.4,1
8875-SRRYKT-J4F,3,1,1,43,4,20,5,73,8.3,1
3900-SSWIXG-RI2,1,3,1,71,6,10,1,10,12.1,0
3432-TSCYSJ-VAA,5,4,1,19,2,14,2,17,7.8,0
6652-PBVZCG-KQ4,1,1,0,79,6,11,1,13,14.1,0
8677-REKIVF-1JD,3,1,1,74,6,13,2,167,4.8,0
7315-BIXCYX-3JD,5,5,1,44,4,13,2,43,4.9,0
3465-PTIFZV-V37,2,3,1,42,4,20,5,80,7.5,0
4039-NPYLRF-XFJ,3,1,1,35,4,17,4,29,7.3,1
6499-DNTMBW-LNS,4,4,1,42,4,11,1,55,22.4,0
3992-XOPOFU-S3V,3,5,0,48,4,11,1,116,11.5,0
9421-HDHCAJ-PTH,3,2,1,55,5,12,2,9,9.4,0
9791-YBDYWO-6TU,5,2,0,60,5,16,3,75,6.5,1
1802-OUQFWM-16Z,1,1,0,52,5,20,5,70,8.1,1
2452-FHGGNN-K41,1,1,0,55,5,12,2,89,5.5,0
6764-QTFVPH-1SZ,3,4,0,35,4,14,2,34,7.6,0
7870-PJERKW-E1C,2,3,0,64,5,18,4,10,9.5,0
8619-BKBHQZ-3WP,1,1,1,27,3,16,3,38,13.6,0
9265-PEYHMB-1PL,3,1,1,79,6,13,2,10,9.3,0
4503-DEXFNT-00L,3,1,0,42,4,17,4,92,11.5,0
8832-LFXOKA-PEY,4,1,1,57,5,20,5,234,10.3,0
1286-EQMWVG-OBK,4,5,1,27,3,20,5,27,15.4,1
4928-BUGNTT-U3N,1,2,1,26,3,10,1,16,3.8,0
3865-EGMXSS-0ZO,4,4,1,76,6,7,1,16,3.9,0
1170-CFEAPU-A8O,4,2,0,27,3,17,4,29,3.3,1
8351-DELQBQ-BZ6,2,2,0,66,6,19,4,179,4.9,0
7883-YMBVQI-EGT,2,3,0,19,2,14,2,18,12.2,0
0930-KPNSRL-BAQ,4,2,0,36,4,9,1,29,3.9,1
1706-YLXGVA-TVK,3,4,0,39,4,13,2,80,9.4,1
6365-JCPDNI-TYU,1,2,0,63,5,19,4,10,14.4,0
2102-SEQVSW-Y31,1,1,0,30,3,11,1,28,7.7,1
5001-IFDTJX-GDY,5,5,1,59,5,13,2,67,10.2,0
7365-GKFKRZ-SUF,2,3,0,45,4,15,3,68,7,0
4128-WIGNKE-VQS,3,3,1,20,2,15,3,30,11.9,0
0892-XTOIXU-IHV,4,1,0,33,3,10,1,28,11.2,0
6474-ZYMQZI-6PV,5,3,1,73,6,15,3,44,6.5,0
5543-QPYPZM-X87,1,1,0,24,2,12,2,19,2.3,1
8318-XAZBYB-86A,5,3,1,70,6,16,3,179,10.9,0
6363-ZSGCGS-QUP,3,1,0,73,6,17,4,12,7.7,0
9465-ENBLDQ-84F,4,4,0,29,3,19,4,29,14.3,1
6243-SQPFJQ-NNQ,4,3,1,57,5,11,1,166,11.8,0
2467-RMWFQL-CX6,2,4,0,51,5,12,2,40,10.9,0
4385-UXNAVA-Q9E,1,1,0,76,6,15,3,18,14,0
8638-OGVKLB-VOI,3,2,1,53,5,13,2,27,16.2,1
3774-VAPGMA-1B0,2,3,1,78,6,10,1,17,8.5,0
6494-CQGCHF-TXS,5,5,1,48,4,21,5,36,18.3,0
2076-HUZSPZ-MGH,3,1,0,65,6,14,2,9,12.5,0
5287-OKMCZQ-3EA,3,3,0,54,5,16,3,168,4.9,0
3329-WIPXLY-SZA,5,2,0,41,4,13,2,37,10.3,0
5992-STZUEJ-17R,2,4,1,61,5,9,1,80,6.9,0
1845-HZTDMW-AVY,1,1,0,21,2,16,3,18,9.8,0
9038-CNAURT-ANA,1,1,1,65,6,16,3,115,7.5,0
6792-WLCTTA-IX4,4,3,1,31,3,9,1,28,10.8,0
8109-MSHFRU-LDE,4,5,1,18,2,12,2,15,3.8,1
6786-AYERHK-FTJ,3,4,0,53,5,16,3,59,7.4,0
8161-UIIOWG-KN0,3,2,0,79,6,11,1,10,7.4,0
4913-UWTCXB-PGD,2,1,0,34,3,17,4,65,4.1,1
9166-NBENKT-6SQ,4,4,0,63,5,14,2,109,3.4,0
1522-EVEYND-4I4,2,1,1,51,5,14,2,99,15.4,1
2252-ADNBHP-C31,1,1,1,32,3,15,3,49,18.8,0
8415-IWHDZL-B2B,3,2,0,36,4,11,1,27,15.6,0
1837-LAGYXY-675,4,5,0,60,5,10,1,22,8.5,0
2295-HHFNIU-DIB,4,1,0,45,4,14,2,35,2.1,0
5235-QFNYVX-4PR,4,4,0,47,4,17,4,90,7.6,0
3270-HPJOCR-6AQ,1,1,1,72,6,19,4,25,3.7,1
4424-DAOQOJ-KZ1,5,5,0,48,4,17,4,24,1.4,0
3832-WTQMZS-ZC5,5,5,1,35,4,19,4,81,9.7,1
9717-ZTBUVW-CCK,5,5,1,71,6,14,2,295,8.2,0
1104-PRTUTF-HXP,5,2,0,34,3,14,2,24,3.8,0
5337-EUXOCW-N3Y,2,2,1,79,6,19,4,14,9.2,0
8831-QWKQHZ-LWS,4,2,0,56,5,15,3,26,14.1,0
3988-YAMGXI-LZK,2,1,1,65,6,14,2,70,26.1,0
7749-WOTQQB-KSG,4,1,1,54,5,12,2,58,15.4,0
5501-FTYRRQ-ZIU,2,1,1,31,3,19,4,25,2.4,0
4884-FBEKGH-AST,4,3,1,64,5,13,2,58,18.7,1
7928-HOQJOR-7LX,5,4,0,37,4,9,1,51,9.5,0
9515-UKHWAK-X7X,2,3,1,48,4,13,2,68,8.1,0
7178-ZBMHST-CN9,3,1,1,68,6,16,3,18,7.7,0
6842-NRIXNR-BTX,4,1,0,20,2,13,2,24,9.9,0
3643-QNNFUH-39D,2,3,1,43,4,14,2,45,0.5,0
7090-MPBKYU-KZO,5,4,0,45,4,16,3,112,7.8,0
0719-NPCALZ-3NF,3,4,0,26,3,8,1,19,8.3,0
6898-URXDIY-ETQ,4,5,1,28,3,8,1,23,3.9,0
0114-BLSPYE-A8B,3,5,0,68,6,10,1,37,3,0
7246-YXJWWH-EDJ,2,1,0,19,2,14,2,29,9.6,0
1097-ABLFRP-35V,1,2,0,63,5,12,2,15,0.7,0
6945-WYTDMW-S3A,2,2,1,71,6,11,1,93,8.2,0
6618-VGSOMI-SMZ,2,1,1,30,3,15,3,49,1.1,0
9991-FCIBKT-W29,3,1,0,46,4,17,4,84,5.9,0
6675-RWNUWQ-VRZ,3,3,0,33,3,12,2,31,14,0
2719-FWSBVY-XOL,5,1,1,59,5,14,2,36,13,0
5846-EHCWED-RQK,2,5,0,18,2,13,2,23,10.6,1
5189-AWRXKD-NBL,5,5,1,23,2,12,2,18,4.1,0
2485-RARGKM-6BJ,4,4,0,66,6,15,3,51,9.7,0
7957-KEZMAH-KUL,3,1,0,56,5,16,3,47,1.9,0
3313-URDBEG-UVD,3,2,1,31,3,14,2,18,10.6,1
9286-AHCZXN-36Q,4,3,1,50,5,18,4,93,3,0
8355-XJIMQE-DLS,4,4,1,23,2,18,4,18,12.2,0
1635-DWYMEA-EIF,2,4,0,19,2,11,1,16,6.3,0
6560-WECAVX-ZP2,1,3,0,55,5,11,1,29,7.4,0
5071-IXPFUC-MDR,5,5,0,21,2,16,3,14,2.2,1
8700-OQMSUZ-JN6,5,5,1,29,3,21,5,18,4.4,0
6523-OLMZNN-4BW,5,1,0,34,3,17,4,31,7.9,0
0999-UTAYUV-NCP,5,3,0,58,5,14,2,82,5.7,0
9410-LGODRP-YK4,1,4,1,41,4,11,1,33,4.2,0
2963-UGUAEW-YUS,4,4,1,66,6,15,3,293,6.3,0
4348-WEQJQZ-8KW,2,2,1,30,3,19,4,76,4.7,0
6945-WLKWCO-6BQ,4,2,0,61,5,13,2,38,7.4,0
6237-HYIFSZ-7BK,3,2,0,18,2,13,2,13,5.5,0
2036-TFDMSS-V5G,1,5,1,33,3,13,2,37,3.6,0
1866-WNGLXT-9B0,5,5,0,64,5,18,4,51,5.7,0
9262-FFTSMI-DAT,3,4,0,27,3,13,2,17,6.2,0
9906-KAISVV-KMN,3,2,0,56,5,13,2,84,9,0
9159-LUYBZL-1FW,3,1,0,32,3,18,4,81,7,0
8847-XVXOIH-Q33,2,2,0,29,3,14,2,22,10,0
6791-SPZGQO-4LE,3,4,0,56,5,12,2,63,10.8,0
2438-YBWVHO-9XR,2,3,1,76,6,18,4,13,15.3,0
